Silver Part No.,Description,Value,Location,Qty,Package,Rating,Tol,Supplier Pt No,Comments
,PD Module,Ag7300,U1,1,Custom,-,-,Silver Telecom Part,
,Transistor NPN 60v Single,BC846BW,"Q1,Q2",2,SOT323,-,-,Infineon or NXP Only,
,Protection Diode,SMAJ36A,D1,1,SMA,-,-,,
,Protection Diode,SMAJ58A,D2,1,SMA,-,-,"Wurth- 824 500 581,Vishay, ST Micro, Diodes Inc",
,SM LED,RED LED,"LED1, LED2",2,SMT,-,-,Wurth - 150 141 RS7 310 0,
,Inductor,8.2μH,L6,1,SMT,>2.5A,,Bourns SDR0805-8R2ML,
,Common Mode Choke,9μH,L7,1,SMT,≥7A,,Wurth: 744237701,
,Ferrite Chip,≥115Ω@100MHz,"FB1, FB2",2,0805,≥7A,25%,Laird: 28F0181-1SR-10,
,Capacitor Electolytic,470uF,C1,1,Through Hole,50V,20%,"Panasonic, Samsung, NIC, TDK, Kemet, AVX, Wurth:860020778021",Pitch: 5mm
,Capacitor Electolytic,47uF,C3,1,Through Hole,100V,20%,"Panasonic, Samsung, NIC, TDK, Kemet, AVX, Wurth:860130875009",Pitch: 5mm
,Ceramic multi-layer,4.7nF,"C7, C8",2,1206,2000V,20%,"Samsung, NIC, TDK, Murata, Kemet, AVX, Wurth",
,Ceramic multi-layer,2.2uF,"C2, C4, C6",3,1210,50V,20%,"Samsung, NIC, TDK, Murata, Kemet, AVX, Wurth: 885012209071",
,Ceramic multi-layer,10uf,"C9, C10",2,1210,50V,20%,"Samsung, NIC, TDK, Murata, Kemet, AVX, Wurth: 885012209073",
,Resistor - 0805,510K,R1,1,0805,125mW,1%,"Royal Ohm, Eurohm & Yageo",
,Resistor - 0805,0R,R2,1,0805,125mW,1%,"Royal Ohm, Eurohm & Yageo",
,Resistor - 0603,330R,R3,1,0603,125mW,1%,"Royal Ohm, Eurohm & Yageo",
,Resistor - 0603,33K,R4,1,0603,125mW,1%,"Royal Ohm, Eurohm & Yageo",
,Resistor - 0603,24K,R5,1,0603,125mW,1%,"Royal Ohm, Eurohm & Yageo",
,Resistor - 1206,0R,"R7-9, R101-103",0,1206,250mW,1%,-,
,Red Connecor,Binding Post,"J1, J3",1,Screw Mount,-,-,Switch Electronics 354147,
,Black Connector,Binding Post,"J2, J4",1,Screw Mount,-,-,Switch Electronics 354146,
,Link,3 Way,LK1,1,Through Hole,-,-,"Toby LHCS-03S-R-060-034, Wurth 61300311121",
,Link,2 Way,"LK2, LK3",2,Through Hole,-,-,"Valcon LHCS-02S-R-060-034, Wurth 61300211121",
,Test point,1 Way,TP1-4,0,Through Hole,-,-,"Valcon, Keystone, Multicomp TEST-1(R)",
,PCB,Rev.1 - 154.3mm x 58.42mm,,,,,,,
,Jumper Links,Links,LK1 - LK3,3,,-,-,,
,Feet,GRF24006A,-,4,,-,-,Essentra,
,,,Total,37,,,,,
